Country,Cumulative_cases,Cumulative_deaths
,11436980,62717
Americas,529249,13109
South-East Asia,114110,2321
Americas,678104,5645
Europe,443290,1554
Europe,274106,883
Europe,1031455,5408
Europe,1143023,1379
Europe,575624,1893
Europe,327853,1731
Europe,148164,1167
Americas,78628,948
Eastern Mediterranean,117822,1532
Europe,272222,83
Americas,23177,778
Europe,118364,1547
South-East Asia,368138,1542
Americas,51819,1513
Europe,149090,1558
Western Pacific,508696,1557
Africa,15536,1063
Western Pacific,10549,835
Europe,86676,155
Europe,75148,314
Europe,39188,173
Americas,37583,1138
Western Pacific,199012,294
Americas,44727,467
Europe,82688,233
Western Pacific,398482,606
Americas,206343,859
South-East Asia,144805,244
Western Pacific,141461,288
Europe,79322,42
Europe,79225,885
Europe,208264,254
Western Pacific,909279,500
Europe,189312,166
Europe,19236,79
Europe,113975,508
Eastern Mediterranean,11713,107
South-East Asia,10497,74
Europe,32457,393
Europe,32750,686
Eastern Mediterranean,65458,159
Europe,65731,283
Eastern Mediterranean,11035,197
Europe,97043,174
Europe,4910,55
Europe,27622,72
Europe,86942,50
Eastern Mediterranean,2304,83
Europe,24233,473
Americas,4041,12
Eastern Mediterranean,21791,118
Europe,17634,285
Eastern Mediterranean,11962,265
South-East Asia,1380,18
Western Pacific,11373,15
Europe,42431,108
Americas,4762,64
Europe,43545,149
Europe,18932,46
Eastern Mediterranean,5196,9
Americas,32498,99
Americas,16193,105
Americas,21712,122
Europe,17336,173
Americas,21721,182
Americas,6212,60
Eastern Mediterranean,6583,13
Western Pacific,127773,45
South-East Asia,7453,167
Eastern Mediterranean,12258,101
Americas,7435,202
Europe,23831,2
Europe,67117,86
Eastern Mediterranean,7822,9
South-East Asia,19132,31
Americas,2569,9
Americas,3592,52
Eastern Mediterranean,20131,11
Europe,7540,117
Eastern Mediterranean,10271,63
Europe,35289,52
Eastern Mediterranean,11971,309
Americas,2192,38
Africa,589,20
Europe,5497,135
Americas,2836,43
Eastern Mediterranean,7558,13
Europe,3270,160
Eastern Mediterranean,2846,4
Africa,167,5
Europe,14984,20
Africa,1644,6
Europe,4801,95
Africa,13632,37
Europe,1346,25
Africa,1234,48
Africa,739,6
Africa,291,1
Europe,1164,14
Africa,2369,9
Europe,1730,26
Europe,1373,22
Africa,208,3
Western Pacific,48644,187
Europe,172,13
Europe,4459,6
Eastern Mediterranean,1374,54
South-East Asia,4543,4
Africa,191,2
Africa,904,9
Africa,234,10
Americas,0,31
Western Pacific,1580,15
Africa,131,5
Western Pacific,3812,11
Americas,422,39
Americas,3771,54
Americas,4034,20
Africa,174,2
Europe,19500,3
Americas,4971,12
Africa,116,0
Africa,159,0
Africa,142,2
Africa,142,12
Africa,157,0
Americas,485,10
Americas,211,5
Europe,566,7
Africa,0,0
Africa,170,4
Western Pacific,4867,1
Western Pacific,87,3
Africa,589,15
Americas,314,13
Eastern Mediterranean,1437,80
Africa,28,2
Western Pacific,30525,3
Americas,647,15
Africa,20,1
Americas,1899,7
Eastern Mediterranean,762,18
Western Pacific,9473,12
Western Pacific,20456,4
Africa,74,1
Western Pacific,1458,10
Africa,273,9
Americas,300,1
Africa,100,0
Europe,436,1
Africa,67,1
Europe,1405,4
Africa,59,0
Western Pacific,1128,6
Africa,64,4
Americas,99,13
Africa,71,2
Europe,2498,2
Americas,73,3
Africa,165,0
Africa,55,5
Americas,110,1
Africa,0,0
Eastern Mediterranean,53,3
Africa,93,3
Americas,168,4
South-East Asia,323,1
Europe,355,1
Africa,8,0
Americas,645,0
Europe,3,0
Africa,52,0
Africa,8,0
Eastern Mediterranean,6,0
Americas,81,1
Europe,464,0
Europe,180,2
Africa,0,0
Americas,81,1
Americas,174,0
Europe,533,0
Africa,0,0
Eastern Mediterranean,33,16
Europe,149,5
Europe,499,0
Americas,175,1
South-East Asia,2159,1
Americas,239,0
Americas,58,0
Africa,15,0
Americas,32,1
Europe,203,1
Western Pacific,1112,2
Africa,18,3
Americas,27,2
Africa,12,0
Africa,81,2
Africa,3,0
Americas,40,0
Africa,0,0
Africa,32,0
Americas,72,0
Western Pacific,1089,18
Americas,24,0
Africa,10,1
Americas,19,1
Americas,13,2
Western Pacific,271,1
Americas,51,0
Western Pacific,126,2
Americas,22,0
Americas,30,0
Other,0,0
Americas,16,0
Western Pacific,0,0
Western Pacific,77,1
Americas,3,0
Americas,0,0
Americas,4,0
Western Pacific,27,0
Western Pacific,0,1
Europe,0,0
Western Pacific,8,0
Western Pacific,5,0
Western Pacific,0,0
South-East Asia,0,0
Western Pacific,0,0
Western Pacific,0,0
Western Pacific,0,0
Western Pacific,0,0
Africa,0,0
Western Pacific,0,0
Europe,0,0
Western Pacific,0,0
